feature,selection
followingCount,1
followerCount,1
tweetCount,1
tweetsCollected,0
lastTweet,0
creation_date,0
urlRatio,1
mentionRatio,1
am,0
ar,0
bg,0
bn,0
bo,0
bs,0
chr,0
ckb,0
cy,0
da,0
de,0
dv,0
el,0
en,0
es,0
et,0
fa,0
fi,0
fr,0
gu,0
hi,0
hr,0
ht,0
hu,0
hy,0
in.,0
is,0
it,0
iu,0
iw,0
ja,0
ka,0
km,0
kn,0
ko,0
lo,0
lt,0
lv,0
ml,0
mr,0
my,0
ne,0
nl,0
no,0
or,0
pa,0
pl,0
ps,0
pt,0
ro,0
ru,0
sd,0
si,0
sk,0
sl,0
sr,0
sv,0
ta,0
te,0
th,0
tl,0
tr,0
ug,0
uk,0
und,0
ur,0
vi,0
zh,0
FinDegree,1
FoutDegree,1
FiP,1
RFev1,1
RFev2,1
RFev3,1
RFev4,1
MinDegree,1
MoutDegree,1
RMev1,1
RMev2,1
RMev3,1
RMev4,1
HTcount,1
UHTev1,1
UHTev2,1
UHTev3,1
UHTev4,1
